PROF_NUM,LONGITUDE,LATITUDE,float,JULD
63,-11.3298,59.8114,navis102,2023-07-25 06:35:32.000000000
64,-11.006,59.9651,navis102,2023-08-04 00:47:14.000000000
65,-11.4052,59.8917,navis102,2023-08-13 19:02:58.000000000
66,-11.2699,59.8701,navis102,2023-08-23 14:20:45.000000000
67,-11.0048,60.1012,navis102,2023-09-02 08:35:38.000000000
68,-10.4223,59.8413,navis102,2023-09-12 02:07:37.000000000
69,-10.0891,59.8988,navis102,2023-09-21 21:05:55.000000000
70,-10.2559,59.771,navis102,2023-10-01 15:51:25.000000000
71,-10.1416,59.9095,navis102,2023-10-11 09:56:51.000000000
72,-10.1918,59.6581,navis102,2023-10-21 05:05:47.000000000
73,-11.0969,59.7332,navis102,2023-10-31 00:23:57.000000000
74,-12.063,59.5744,navis102,2023-11-09 19:45:05.000000000
75,-11.8686,59.5949,navis102,2023-11-19 15:14:16.000000000
76,-12.8036,59.3304,navis102,2023-11-29 10:51:16.000000000
77,-12.9396,59.6741,navis102,2023-12-09 05:45:06.000000000
78,-13.0982,59.8332,navis102,2023-12-19 00:18:16.000000000
79,-13.4574,59.9482,navis102,2023-12-28 17:54:19.000000000
80,-13.552,59.9416,navis102,2024-01-07 12:41:47.000000000
81,-13.6882,60.2476,navis102,2024-01-17 06:21:30.000000000
82,-12.7599,60.8273,navis102,2024-01-27 00:45:27.000000000
83,-12.3305,60.8568,navis102,2024-02-05 20:17:39.000000000
84,-11.8369,60.8251,navis102,2024-02-15 14:10:05.000000000
85,-11.5164,61.1565,navis102,2024-02-25 09:06:56.000000000
86,-11.2904,61.3204,navis102,2024-03-06 04:44:28.000000000
87,-11.1075,61.6768,navis102,2024-03-16 00:41:08.000000000
88,-10.9185,61.5813,navis102,2024-03-25 19:30:08.000000000
89,-11.8089,62.1171,navis102,2024-04-04 14:59:35.000000000
90,-13.3442,62.492,navis102,2024-04-14 10:00:16.000000000
91,-14.2395,63.4922,navis102,2024-04-24 04:28:23.000000000
92,-14.5091,63.3072,navis102,2024-05-03 22:57:41.000000000
93,-14.5707,63.2348,navis102,2024-05-13 18:04:09.000000000
94,-15.9194,62.9451,navis102,2024-05-23 13:46:06.000000000
